,Churn,Longevity,TypeTravel,RoomType,RewardPoints,Comfort,ReceptionSchedule,FoodDrink,Location,Wifi,Amenities,Staff,OnlineBooking,PriceQuality,RoomSpace,CheckOut,Checkin,Cleanliness,BarService,Age,Gender,avg_satisfaction,avg_accomodation,avg_reception,avg_catering,avg_key_factors,RewardPoints_bins,Age_bin
3575,churn,no,business,double,5187.0,3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,4.0,1.0,2.0,5.0,5.0,2.0,27,F,3.0714285714285716,2.8,3.0,2.5,4.5,2,Young_adult
3576,churn,no,business,single,5107.0,3.0,3.0,3.0,4.0,5.0,3.0,5.0,5.0,1.0,4.0,3.0,4.0,4.0,5.0,40,F,3.7142857142857144,3.8,4.0,4.0,2.5,2,Mid_adult
3577,nochurn,yes,business,single,5049.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,46,M,3.857142857142857,4.2,4.0,3.0,3.5,2,Mid_adult
3578,churn,no,business,double,5233.0,2.0,2.0,2.0,4.0,5.0,2.0,5.0,5.0,3.0,2.0,3.0,3.0,3.0,5.0,27,F,3.2857142857142856,2.8,3.6,3.5,3.5,2,Young_adult
3579,churn,yes,business,single,3881.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,49,F,3.0,3.2,3.0,2.5,3.0,1,Mid_adult
3580,churn,no,business,single,4734.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,2.0,5.0,4.0,5.0,1.0,43,F,2.357142857142857,2.0,2.4,1.0,4.5,1,Mid_adult
3581,nochurn,yes,business,double,6473.0,5.0,5.0,5.0,5.0,4.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,43,F,4.214285714285714,4.2,4.2,3.5,5.0,2,Mid_adult
3582,nochurn,yes,leisure,suite,6724.0,1.0,4.0,1.0,1.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,64,F,3.357142857142857,3.4,4.0,2.5,2.5,2,Older_adult
3583,nochurn,yes,leisure,double,5705.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,47,F,3.857142857142857,4.0,4.2,3.0,3.5,2,Mid_adult
3584,nochurn,yes,leisure,double,4794.0,5.0,3.0,3.0,3.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,2.0,26,F,3.7857142857142856,4.0,4.0,2.5,4.0,2,Young_adult
3585,nochurn,yes,leisure,suite,6417.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,45,F,3.0,3.2,3.0,3.0,2.5,2,Mid_adult
3586,churn,yes,leisure,double,5403.0,3.0,5.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,3.0,5.0,3.0,4.0,1.0,50,M,2.857142857142857,3.0,3.0,2.5,2.5,2,Mid_adult
3587,churn,yes,leisure,double,4831.0,3.0,5.0,3.0,1.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,44,M,3.5,3.4,4.0,3.5,2.5,2,Mid_adult
3588,churn,no,business,double,4652.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,5.0,3.0,4.0,3.0,25,F,3.2142857142857144,3.4,3.4,3.0,2.5,1,Young_adult
3589,nochurn,yes,business,single,6785.0,0.0,5.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,57,M,4.0,3.8,5.0,3.0,3.0,2,Older_adult
3590,churn,no,business,double,4809.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,3.0,2.0,4.0,2.0,3.0,5.0,19,F,3.7857142857142856,3.6,4.0,4.5,3.0,2,Young_adult
3591,churn,yes,business,single,5574.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,32,M,1.2857142857142858,1.4,1.4,1.0,1.0,2,Young_adult
3592,nochurn,yes,business,single,3064.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,5.0,2.0,30,M,2.2857142857142856,2.6,2.6,1.5,1.5,1,Young_adult
3593,churn,yes,leisure,double,4774.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,40,M,2.4285714285714284,2.4,2.4,2.5,2.5,2,Mid_adult
3594,churn,yes,business,double,4442.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,4.0,4.0,4.0,3.0,30,M,3.0,2.8,3.4,3.0,2.5,1,Young_adult
3595,churn,yes,leisure,double,6499.0,4.0,5.0,4.0,4.0,1.0,5.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,5.0,64,F,3.142857142857143,3.0,3.0,4.5,2.5,2,Older_adult
3596,nochurn,yes,business,single,5345.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,43,M,4.0,4.0,4.0,4.0,4.0,2,Mid_adult
3597,churn,no,business,double,4994.0,4.0,0.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,1.0,18,F,2.2857142857142856,2.8,1.8,2.5,2.0,2,Young_adult
3598,churn,yes,business,single,3636.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,32,F,1.7857142857142858,1.4,2.0,1.5,2.5,1,Young_adult
3599,nochurn,yes,business,single,3188.0,2.0,2.0,2.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,46,F,4.0,4.2,4.2,3.5,3.5,1,Mid_adult
3600,nochurn,yes,business,single,5468.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,62,M,2.7857142857142856,2.8,3.2,2.5,2.0,2,Older_adult
3601,nochurn,yes,leisure,double,4392.0,5.0,2.0,5.0,3.0,3.0,5.0,3.0,3.0,4.0,1.0,3.0,4.0,3.0,3.0,24,F,3.357142857142857,3.4,3.0,4.0,3.5,1,Young_adult
3602,churn,yes,business,suite,5824.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,3.0,2.0,1.0,28,F,2.2857142857142856,2.0,2.2,2.5,3.0,2,Young_adult
3603,nochurn,yes,business,suite,6041.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,1.0,1.0,3.0,29,F,2.0714285714285716,2.2,1.8,1.5,3.0,2,Young_adult
3604,nochurn,yes,leisure,double,5505.0,4.0,2.0,2.0,2.0,4.0,5.0,1.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,47,F,3.5714285714285716,4.2,3.2,3.5,3.0,2,Mid_adult
3605,nochurn,yes,business,double,6759.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,1.0,55,F,3.0,3.4,3.4,1.0,3.0,2,Mid_adult
3606,churn,yes,business,double,4529.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,1.0,3.0,2.0,33,F,2.4285714285714284,2.6,2.4,2.5,2.0,1,Young_adult
3607,churn,no,business,single,4909.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,66,M,2.7857142857142856,2.8,2.8,2.5,3.0,2,Older_adult
3608,churn,yes,leisure,suite,4282.0,2.0,5.0,2.0,2.0,5.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,57,M,3.857142857142857,3.6,4.4,3.5,3.5,1,Older_adult
3609,nochurn,yes,business,single,3000.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,1.0,39,F,3.7857142857142856,3.4,4.2,3.0,4.5,1,Mid_adult
3610,nochurn,yes,business,single,4440.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,61,F,3.9285714285714284,4.0,4.2,3.5,3.5,1,Older_adult
3611,churn,no,business,double,4925.0,2.0,3.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,1.0,3.0,1.0,4.0,4.0,23,M,2.857142857142857,2.6,3.0,3.0,3.0,2,Young_adult
3612,churn,yes,leisure,double,5042.0,2.0,4.0,5.0,4.0,2.0,5.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,2.0,68,M,3.5,3.4,3.4,3.5,4.0,2,Older_adult
3613,nochurn,yes,leisure,double,6647.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,65,F,4.0,4.2,4.2,3.0,4.0,2,Older_adult
3614,churn,yes,leisure,double,3530.0,1.0,5.0,1.0,5.0,4.0,1.0,3.0,4.0,2.0,2.0,4.0,3.0,5.0,4.0,29,M,3.142857142857143,2.6,3.8,2.5,3.5,1,Young_adult
3615,nochurn,yes,leisure,double,5524.0,0.0,1.0,0.0,2.0,3.0,0.0,3.0,3.0,2.0,5.0,2.0,3.0,2.0,3.0,34,F,2.0714285714285716,2.0,2.4,1.5,2.0,2,Young_adult
3616,nochurn,yes,business,single,4050.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,33,M,3.4285714285714284,3.4,3.6,3.0,3.5,1,Young_adult
3617,nochurn,yes,business,single,5415.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,56,F,3.7857142857142856,3.6,4.2,3.5,3.5,2,
3618,churn,yes,business,double,5788.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0,2.0,46,M,2.0,2.6,1.8,1.5,1.5,2,Mid_adult
3619,nochurn,yes,business,single,5080.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,43,M,3.357142857142857,3.2,3.8,3.0,3.0,2,Mid_adult
3620,nochurn,yes,business,single,4789.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,37,F,4.214285714285714,4.2,4.4,4.0,4.0,2,Mid_adult
3621,nochurn,yes,leisure,double,6037.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,56,F,3.4285714285714284,3.8,3.6,3.0,2.5,2,
3622,churn,yes,leisure,single,6747.0,3.0,5.0,3.0,3.0,2.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,62,M,3.7142857142857144,3.4,4.2,3.5,3.5,2,Older_adult
3623,nochurn,yes,business,single,3054.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,49,M,4.571428571428571,4.6,4.6,4.5,4.5,1,Mid_adult
3624,churn,yes,leisure,double,6118.0,4.0,3.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,4.0,3.0,1.0,4.0,1.0,48,F,3.142857142857143,3.4,2.8,2.5,4.0,2,Mid_adult
3625,nochurn,yes,business,single,5122.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,5.0,2.0,3.0,57,F,3.5,3.2,3.6,4.0,3.5,2,Older_adult
3626,churn,yes,leisure,double,4414.0,1.0,1.0,1.0,4.0,5.0,1.0,5.0,5.0,3.0,1.0,3.0,3.0,4.0,5.0,20,M,3.0,2.4,3.4,3.0,3.5,1,Young_adult
3627,nochurn,yes,leisure,double,5574.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,31,F,3.142857142857143,3.4,3.6,2.0,2.5,2,Young_adult
3628,nochurn,yes,leisure,double,4928.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,34,F,3.5,4.0,3.6,2.5,3.0,2,Young_adult
3629,nochurn,yes,business,single,4523.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,30,F,3.642857142857143,4.2,4.2,3.0,1.5,1,Young_adult
3630,nochurn,yes,leisure,double,3546.0,0.0,4.0,0.0,4.0,2.0,0.0,2.0,2.0,4.0,5.0,3.0,5.0,3.0,2.0,27,F,2.5714285714285716,2.0,3.2,1.0,4.0,1,Young_adult
3631,nochurn,yes,business,single,6225.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,47,F,3.7857142857142856,3.8,3.8,3.5,4.0,2,Mid_adult
3632,nochurn,yes,business,single,3532.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,51,M,3.2857142857142856,3.8,3.4,2.5,2.5,1,Mid_adult
3633,nochurn,yes,leisure,double,3301.0,0.0,4.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,27,F,2.0714285714285716,1.6,2.4,2.5,2.0,1,Young_adult
3634,churn,no,business,single,4391.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,4.0,5.0,4.0,5.0,2.0,29,F,2.5714285714285716,2.6,2.8,1.5,3.0,1,Young_adult
3635,churn,no,business,suite,4171.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,4.0,4.0,1.0,3.0,1.0,30,F,2.142857142857143,2.4,1.8,1.5,3.0,1,Young_adult
3636,nochurn,yes,leisure,double,5618.0,2.0,2.0,4.0,2.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,19,F,3.7142857142857144,3.4,4.0,4.5,3.0,2,Young_adult
3637,nochurn,yes,business,double,4876.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,5.0,1.0,4.0,1.0,4.0,54,F,3.642857142857143,3.6,3.4,4.5,3.5,2,Mid_adult
3638,churn,yes,business,single,3831.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,58,M,3.5714285714285716,3.2,3.4,4.5,4.0,1,Older_adult
3639,churn,yes,business,suite,5236.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,40,M,2.9285714285714284,2.4,3.2,3.0,3.5,2,Mid_adult
3640,churn,yes,leisure,double,5188.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,3.0,4.0,1.0,43,M,2.142857142857143,2.0,2.0,1.5,3.5,2,Mid_adult
3641,nochurn,yes,leisure,double,4633.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,57,F,3.5714285714285716,3.4,3.6,4.0,3.5,1,Older_adult
3642,nochurn,yes,leisure,double,4942.0,0.0,5.0,0.0,5.0,4.0,0.0,4.0,4.0,5.0,5.0,4.0,2.0,2.0,4.0,37,F,3.142857142857143,2.2,3.8,2.0,5.0,2,Mid_adult
3643,churn,yes,business,single,4086.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,1.0,5.0,3.0,2.0,4.0,4.0,26,F,3.357142857142857,4.0,3.2,3.5,2.0,1,Young_adult
3644,nochurn,yes,business,single,3273.0,2.0,2.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,41,M,3.7857142857142856,3.8,3.8,4.5,3.0,1,Mid_adult
3645,churn,yes,business,single,3877.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,4.0,2.0,3.0,62,F,2.0714285714285716,2.2,2.2,2.0,1.5,1,Older_adult
3646,churn,yes,leisure,double,6455.0,4.0,3.0,5.0,1.0,3.0,1.0,2.0,2.0,2.0,5.0,2.0,4.0,2.0,4.0,71,F,2.857142857142857,3.0,2.6,4.5,1.5,2,Older_adult
3647,churn,no,business,single,3856.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,38,F,3.2142857142857144,3.0,3.2,2.5,4.5,1,Mid_adult
3648,nochurn,yes,business,single,5432.0,2.0,2.0,1.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,54,F,3.7142857142857144,4.2,4.0,2.0,3.5,2,Mid_adult
3649,nochurn,yes,business,single,3374.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,1.0,37,M,3.857142857142857,4.2,4.2,2.0,4.0,1,Mid_adult
3650,nochurn,yes,business,single,3218.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,60,M,3.9285714285714284,3.8,3.8,4.0,4.5,1,Older_adult
3651,churn,yes,business,double,5072.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,1.0,3.0,4.0,47,M,3.2142857142857144,3.6,3.2,3.5,2.0,2,Mid_adult
3652,churn,yes,business,single,3185.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,39,M,3.2142857142857144,3.4,3.2,3.0,3.0,1,Mid_adult
3653,nochurn,yes,business,double,5741.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,60,M,3.857142857142857,4.2,3.6,3.5,4.0,2,Older_adult
3654,churn,yes,business,single,3805.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,51,M,2.642857142857143,2.2,2.6,3.5,3.0,1,Mid_adult
3655,churn,yes,business,single,6357.0,3.0,1.0,5.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,47,F,3.0714285714285716,2.8,2.4,4.5,4.0,2,Mid_adult
3656,nochurn,yes,business,single,4515.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,4.0,5.0,24,F,4.357142857142857,4.2,4.4,4.5,4.5,1,Young_adult
3657,nochurn,no,business,double,5070.0,0.0,1.0,0.0,3.0,1.0,0.0,4.0,1.0,5.0,5.0,4.0,4.0,4.0,1.0,21,F,2.357142857142857,2.0,2.8,0.5,4.0,2,Young_adult
3658,churn,yes,leisure,double,5334.0,1.0,5.0,1.0,4.0,5.0,1.0,5.0,5.0,2.0,4.0,2.0,2.0,3.0,5.0,69,M,3.2142857142857144,2.8,3.8,3.0,3.0,2,Older_adult
3659,nochurn,yes,business,single,3490.0,4.0,4.0,4.0,4.0,2.0,5.0,5.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,51,F,3.857142857142857,3.6,4.2,4.0,3.5,1,Mid_adult
3660,churn,yes,leisure,double,5354.0,2.0,4.0,2.0,1.0,5.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,4.0,5.0,50,M,3.5714285714285716,3.0,4.8,3.5,2.0,2,Mid_adult
3661,churn,yes,business,single,3128.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,45,F,3.2857142857142856,3.6,3.6,2.0,3.0,1,Mid_adult
3662,nochurn,yes,leisure,double,6549.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,59,F,3.7142857142857144,3.8,4.2,2.5,3.5,2,Older_adult
3663,churn,yes,leisure,double,5216.0,2.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,36,M,3.9285714285714284,3.4,4.4,4.0,4.0,2,Mid_adult
3664,churn,no,business,single,5365.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,3.0,39,F,2.857142857142857,2.8,3.4,2.0,2.5,2,Mid_adult
3665,nochurn,yes,leisure,double,5802.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,30,F,3.4285714285714284,3.6,3.8,3.0,2.5,2,Young_adult
3666,churn,no,business,double,5047.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,4.0,19,F,3.0714285714285716,3.2,3.4,3.0,2.0,2,Young_adult
3667,nochurn,yes,leisure,double,5901.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,71,F,3.5714285714285716,3.4,3.4,4.5,3.5,2,Older_adult
3668,churn,no,business,single,4870.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,1.0,1.0,3.0,3.0,4.0,5.0,36,M,3.7142857142857144,3.6,4.0,4.5,2.5,2,Mid_adult
3669,churn,yes,business,single,6582.0,1.0,5.0,5.0,5.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,61,F,2.2142857142857144,1.4,2.4,3.0,3.0,2,Older_adult
3670,nochurn,yes,leisure,suite,5261.0,2.0,2.0,3.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,25,F,3.0714285714285716,2.8,3.2,4.0,2.5,2,Young_adult
3671,churn,yes,leisure,suite,5635.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,5.0,5.0,5.0,2.0,34,M,3.357142857142857,3.4,3.6,3.0,3.0,2,Young_adult
3672,churn,yes,leisure,double,5296.0,2.0,4.0,0.0,2.0,4.0,0.0,4.0,4.0,4.0,1.0,2.0,5.0,2.0,4.0,20,M,2.7142857142857144,1.8,3.8,2.0,3.0,2,Young_adult
3673,nochurn,yes,leisure,double,6405.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.0,3.0,1.0,2.0,2.0,4.0,50,F,2.642857142857143,3.0,2.6,3.0,1.5,2,Mid_adult
3674,nochurn,yes,leisure,double,5338.0,2.0,5.0,2.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,19,F,3.857142857142857,4.0,4.4,3.0,3.0,2,Young_adult
3675,churn,yes,leisure,double,5010.0,1.0,5.0,0.0,1.0,0.0,4.0,4.0,4.0,4.0,5.0,1.0,4.0,2.0,4.0,27,F,2.7857142857142856,2.4,3.6,2.0,2.5,2,Young_adult
3676,churn,no,business,single,4703.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,31,F,3.857142857142857,3.8,4.2,3.5,3.5,1,Young_adult
3677,churn,no,business,double,5353.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,1.0,3.0,3.0,27,M,2.857142857142857,2.8,3.0,2.5,3.0,2,Young_adult
3678,nochurn,yes,business,double,5217.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,3.0,2.0,1.0,5.0,4.0,39,M,3.142857142857143,4.0,2.6,4.0,1.5,2,Mid_adult
3679,churn,yes,business,double,5584.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,1.0,3.0,1.0,29,M,2.4285714285714284,2.2,2.4,1.0,4.5,2,Young_adult
3680,churn,no,business,double,4200.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,5.0,1.0,5.0,2.0,3.0,4.0,29,M,3.0714285714285716,2.4,3.4,3.0,4.0,1,Young_adult
3681,churn,no,business,double,2951.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,30,F,2.7142857142857144,2.6,3.0,2.5,2.5,1,Young_adult
3682,nochurn,no,business,single,4759.0,5.0,5.0,5.0,3.0,5.0,1.0,1.0,5.0,2.0,5.0,5.0,1.0,3.0,1.0,27,M,3.357142857142857,3.8,3.4,3.0,2.5,1,Young_adult
3683,nochurn,yes,business,single,2894.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,3.0,4.0,3.0,4.0,2.0,29,M,2.9285714285714284,2.8,2.8,2.5,4.0,1,Young_adult
3684,churn,yes,leisure,double,5472.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,4.0,4.0,4.0,5.0,2.0,2.0,56,M,2.642857142857143,2.2,3.2,1.5,3.5,2,
3685,nochurn,no,business,single,5434.0,5.0,0.0,5.0,4.0,1.0,5.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,1.0,26,M,3.357142857142857,4.2,2.4,3.0,4.0,2,Young_adult
3686,nochurn,yes,leisure,double,4870.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,24,F,3.0714285714285716,3.6,3.2,2.5,2.0,2,Young_adult
3687,nochurn,yes,leisure,suite,3881.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,46,F,4.571428571428571,4.6,4.6,4.5,4.5,1,Mid_adult
3688,nochurn,yes,leisure,single,6575.0,4.0,4.0,2.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,48,F,3.5,3.6,3.8,2.5,3.5,2,Mid_adult
3689,churn,yes,leisure,double,4864.0,2.0,4.0,2.0,5.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,3.0,5.0,4.0,37,M,3.4285714285714284,3.0,3.8,3.0,4.0,2,Mid_adult
3690,nochurn,yes,leisure,suite,6869.0,1.0,1.0,4.0,1.0,5.0,4.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,48,F,2.7142857142857144,2.8,2.6,4.0,1.5,2,Mid_adult
3691,churn,yes,leisure,double,4119.0,2.0,5.0,3.0,5.0,2.0,3.0,2.0,2.0,5.0,4.0,3.0,5.0,5.0,2.0,52,M,3.4285714285714284,3.2,3.4,2.5,5.0,1,Mid_adult
3692,nochurn,yes,business,single,3249.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,31,M,3.5714285714285716,3.4,4.0,3.5,3.0,1,Young_adult
3693,nochurn,yes,business,single,4948.0,1.0,1.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,45,M,3.357142857142857,3.4,3.6,3.5,2.5,2,Mid_adult
3694,churn,yes,business,single,6535.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,36,F,2.2857142857142856,1.6,2.6,3.0,2.5,2,Mid_adult
3695,nochurn,yes,business,single,3771.0,0.0,4.0,0.0,1.0,4.0,4.0,4.0,4.0,1.0,3.0,5.0,4.0,3.0,4.0,34,M,2.9285714285714284,2.8,4.2,2.0,1.0,1,Young_adult
3696,nochurn,yes,business,single,3463.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,35,M,3.857142857142857,3.6,4.0,4.0,4.0,1,Young_adult
3697,nochurn,yes,business,single,5456.0,4.0,4.0,4.0,4.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,42,M,4.0,3.8,4.2,4.0,4.0,2,Mid_adult
